event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
5711,2019-02-10 00:20:48,2.3,OGS,None,36.69920349,-97.67037964,3.7,0.97,0.83,1.13,0.21899499,Oklahoma,Grant,Reviewed
5708,2019-02-10 00:26:59,1.8,OGS,None,36.37616667,-96.99983333,5.66,0.28,0.28,0.5,None,Oklahoma,Pawnee,Reviewed
5740,2019-02-10 16:44:26,1.0,OGS,None,36.52716667,-98.97933333,7.85,0.92,0.92,0.6,None,Oklahoma,Woodward,Reviewed
5705,2019-02-10 16:46:13,2.4,OGS,None,36.701,-97.6805,7.71,0.14,0.14,0.5,None,Oklahoma,Grant,Reviewed
5702,2019-02-10 18:50:09,2.6,OGS,None,36.933,-97.93183333,5.28,0.21,0.21,0.5,None,Oklahoma,Grant,Reviewed
5699,2019-02-10 19:11:02,3.0,OGS,None,36.8370018,-97.69646454,3.25,0.76,0.65,0.93,0.17240137,Oklahoma,Grant,Reviewed
5660,2019-02-10 20:03:08,2.8,OGS,None,37.62894821,-97.24986267,5.0,5.79,5.51,0.0,1.08342782,Kansas,Sedgwick,Preliminary
5696,2019-02-10 21:43:54,2.5,OGS,None,36.69817734,-97.67469025,5.13,0.9,0.87,2.04,0.21374885,Oklahoma,Grant,Reviewed
5693,2019-02-10 22:05:27,2.6,OGS,None,35.81733333,-98.25916667,7.25,0.21,0.21,0.7,None,Oklahoma,Blaine,Reviewed
5685,2019-02-11 02:28:09,3.1,OGS,None,35.12366667,-97.87566667,7.8,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
5691,2019-02-11 04:54:34,2.7,OGS,None,35.27266667,-97.8475,7.03,0.28,0.28,0.5,None,Oklahoma,Grady,Reviewed
5743,2019-02-11 05:04:54,1.3,OGS,None,36.47333333,-97.76066667,11.29,0.42,0.42,2.2,None,Oklahoma,Garfield,Reviewed
5745,2019-02-11 05:45:29,1.2,OGS,None,36.44367218,-96.87104034,3.63,1.83,1.24,1.66,0.51043053,Oklahoma,Pawnee,Reviewed
5688,2019-02-11 09:45:42,2.9,OGS,None,36.27662659,-97.63308716,3.52,0.62,0.57,0.85,0.13477721,Oklahoma,Garfield,Reviewed
5747,2019-02-11 11:58:03,1.6,OGS,None,36.71783333,-98.761,8.52,0.64,0.64,3.4,None,Oklahoma,Woods,Reviewed
5733,2019-02-11 16:29:17,2.6,OGS,None,35.83148193,-98.24588013,4.05,0.77,0.89,1.21,0.1997241,Oklahoma,Blaine,Reviewed
5759,2019-02-11 20:15:51,2.3,OGS,None,37.0535,-97.38666667,5.91,0.49,0.49,0.8,None,Kansas,Sumner,Reviewed
5756,2019-02-12 00:22:47,2.5,OGS,None,35.82433333,-98.2545,6.46,0.28,0.28,0.8,None,Oklahoma,Blaine,Reviewed
5762,2019-02-12 04:55:51,2.3,OGS,None,37.05983333,-97.86383333,8.99,0.28,0.28,0.8,None,Kansas,Harper,Reviewed
5763,2019-02-12 14:25:26,1.3,OGS,None,36.07983333,-97.46333333,5.81,0.57,0.57,2.2,None,Oklahoma,Logan,Reviewed
5770,2019-02-12 21:01:59,2.3,OGS,None,36.21216667,-95.83633333,0.0,0.57,0.57,0.6,None,Oklahoma,Tulsa,Preliminary
5856,2019-02-13 00:27:39,1.7,OGS,None,36.93033333,-97.929,4.04,0.28,0.28,0.8,None,Oklahoma,Grant,Reviewed
5858,2019-02-13 02:06:18,1.1,OGS,None,36.44483333,-96.88316667,4.24,0.35,0.35,1.4,None,Oklahoma,Pawnee,Reviewed
5798,2019-02-13 02:35:00,1.8,OGS,None,35.20266667,-97.82916667,11.0,0.85,0.85,1.3,None,Oklahoma,Grady,Reviewed
5801,2019-02-13 02:35:02,2.2,OGS,None,35.255,-97.7935,6.72,0.64,0.64,0.9,None,Oklahoma,Grady,Reviewed
5796,2019-02-13 04:15:03,2.2,OGS,None,36.447,-96.887,5.94,0.21,0.21,0.4,None,Oklahoma,Pawnee,Reviewed
5853,2019-02-13 04:21:07,2.3,OGS,None,36.4485,-96.888,6.18,0.28,0.28,0.4,None,Oklahoma,Pawnee,Reviewed
